Content ID,Type_x,Category,Type,Datetime,Sentiment,Score
9f737e0a-3cdd-4d29-9d24-753f4e3be810,photo,healthy eating,disgust,2021-03-28 21:15:26,negative,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,2020-08-04 05:40:33,negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,disgust,2020-09-11 20:55:52,negative,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,photo,travel,disgust,2020-07-26 11:28:58,negative,0
34a3747a-0b77-42f6-ae19-87c38b94b674,GIF,science,disgust,2021-04-28 07:00:56,negative,0
f4e3840e-bb71-40c2-afc5-9408d842646d,photo,healthy eating,disgust,2021-03-08 02:51:24,negative,0
02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,video,cooking,disgust,2021-01-17 23:43:53,negative,0
02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,video,cooking,disgust,2020-06-23 11:28:25,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2020-06-30 23:11:07,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2021-05-21 14:58:32,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2020-10-01 07:34:15,negative,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,GIF,healthy eating,disgust,2020-07-07 12:17:02,negative,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,audio,animals,disgust,2020-09-08 15:30:59,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2020-09-03 10:59:45,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2020-11-10 07:27:45,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2021-01-25 00:52:11,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2020-06-26 18:09:24,negative,0
50c9237a-541c-4f10-a2be-7cbe076b2012,GIF,travel,disgust,2021-01-20 19:32:40,negative,0
5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,video,science,disgust,2020-10-24 10:08:27,negative,0
5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,video,science,disgust,2020-08-07 09:07:19,negative,0
5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,video,science,disgust,2021-01-16 05:51:58,negative,0
daab7b1a-fc8d-473e-bbf3-b29f4185ae56,video,science,disgust,2020-12-20 01:10:46,negative,0
daab7b1a-fc8d-473e-bbf3-b29f4185ae56,video,science,disgust,2021-06-03 02:16:45,negative,0
e2c433d2-096e-484e-8c69-28f0bb69f3b7,audio,science,disgust,2021-01-24 20:52:36,negative,0
e2c433d2-096e-484e-8c69-28f0bb69f3b7,audio,science,disgust,2020-11-25 19:43:36,negative,0
e2c433d2-096e-484e-8c69-28f0bb69f3b7,audio,science,disgust,2021-01-26 15:54:27,negative,0
eaddee3e-3a23-47cd-9785-ab7f2120a293,video,science,disgust,2020-12-26 09:23:28,negative,0
eaddee3e-3a23-47cd-9785-ab7f2120a293,video,science,disgust,2021-04-02 21:00:06,negative,0
9ef39aa2-60f9-4e4b-b666-c6cb97015503,GIF,travel,disgust,2021-01-16 07:00:51,negative,0
dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,photo,science,disgust,2020-12-29 08:39:57,negative,0
dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,photo,science,disgust,2021-04-27 00:46:44,negative,0
dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,photo,science,disgust,2020-11-20 10:39:52,negative,0
86346263-02db-4020-a216-9e54f502f643,GIF,travel,disgust,2020-09-19 14:51:08,negative,0
86346263-02db-4020-a216-9e54f502f643,GIF,travel,disgust,2020-11-04 05:30:31,negative,0
9d94f180-947c-40f5-aa05-f1958759b7fc,video,science,disgust,2021-03-13 14:46:31,negative,0
1de2f0f9-61ab-43fb-9180-6870824c63c0,GIF,science,disgust,2020-07-07 20:10:39,negative,0
af7971aa-5fd5-41d3-b6c3-583704a705a2,video,healthy eating,disgust,2021-01-03 06:27:03,negative,0
af7971aa-5fd5-41d3-b6c3-583704a705a2,video,healthy eating,disgust,2021-04-20 15:01:31,negative,0
5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,video,healthy eating,disgust,2020-11-24 08:08:35,negative,0
5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,video,healthy eating,disgust,2020-12-21 19:33:48,negative,0
5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,video,healthy eating,disgust,2021-05-04 17:40:53,negative,0
72822fb8-8a40-4cf1-a86a-42140b3bf9f3,photo,travel,disgust,2021-04-12 10:58:45,negative,0
72822fb8-8a40-4cf1-a86a-42140b3bf9f3,photo,travel,disgust,2021-01-01 15:36:54,negative,0
72822fb8-8a40-4cf1-a86a-42140b3bf9f3,photo,travel,disgust,2020-12-13 17:23:33,negative,0
72822fb8-8a40-4cf1-a86a-42140b3bf9f3,photo,travel,disgust,2020-11-13 10:06:14,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2020-10-23 11:36:46,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2021-04-03 22:31:54,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2020-12-23 13:18:04,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2021-04-16 10:24:32,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2020-07-08 21:07:05,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2020-11-13 15:40:16,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2020-09-14 10:32:35,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2020-10-14 23:46:19,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2020-11-01 08:01:26,negative,0
67f2a150-6086-4cbd-8d21-46250ccef5a2,GIF,cooking,disgust,2021-05-20 00:01:57,negative,0
b6c24086-becf-4615-801e-c3c298a8d4e2,photo,travel,disgust,2020-11-04 01:35:06,negative,0
b6c24086-becf-4615-801e-c3c298a8d4e2,photo,travel,disgust,2021-05-23 19:58:37,negative,0
b6c24086-becf-4615-801e-c3c298a8d4e2,photo,travel,disgust,2020-06-20 11:04:25,negative,0
b6c24086-becf-4615-801e-c3c298a8d4e2,photo,travel,disgust,2020-07-20 16:21:17,negative,0
2b6921de-e7f2-4e30-8feb-36bd41becaf0,audio,travel,disgust,2021-05-06 03:02:17,negative,0
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,photo,animals,disgust,2020-12-26 08:14:19,negative,0
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,photo,animals,disgust,2020-11-14 00:40:44,negative,0
2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,photo,animals,disgust,2021-05-25 15:23:34,negative,0
6199f5ca-cc02-410d-a408-e034946de162,video,animals,disgust,2021-04-09 00:41:02,negative,0
6199f5ca-cc02-410d-a408-e034946de162,video,animals,disgust,2020-11-17 07:00:09,negative,0
6199f5ca-cc02-410d-a408-e034946de162,video,animals,disgust,2020-08-04 23:23:40,negative,0
bf8e2e7a-7a90-47f8-8dd6-01f8c6aa32ed,video,science,disgust,2021-04-20 11:09:09,negative,0
7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,video,cooking,disgust,2021-02-24 18:21:42,negative,0
7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,video,cooking,disgust,2020-07-04 05:59:03,negative,0
413101f7-ea05-4df6-97cf-9891245c5ed7,photo,science,disgust,2020-11-10 01:47:49,negative,0
7dc268e5-b50d-4280-82aa-e08af75a8a0a,photo,science,disgust,2020-12-23 14:58:38,negative,0
7dc268e5-b50d-4280-82aa-e08af75a8a0a,photo,science,disgust,2020-09-18 13:44:54,negative,0
ebdf5d36-9ecc-44d7-b641-d33805709452,audio,cooking,disgust,2020-12-24 19:41:09,negative,0
ebdf5d36-9ecc-44d7-b641-d33805709452,audio,cooking,disgust,2020-12-05 18:33:57,negative,0
ebdf5d36-9ecc-44d7-b641-d33805709452,audio,cooking,disgust,2020-06-21 06:14:06,negative,0
27ec2b21-a749-4181-b182-150a174fc277,GIF,animals,disgust,2020-09-29 07:59:40,negative,0
27ec2b21-a749-4181-b182-150a174fc277,GIF,animals,disgust,2021-03-01 08:15:22,negative,0
457d54ed-e0bf-4574-80e3-561c1bbc4d3e,GIF,science,disgust,2020-09-21 23:13:47,negative,0
457d54ed-e0bf-4574-80e3-561c1bbc4d3e,GIF,science,disgust,2020-07-29 19:07:57,negative,0
57a8bb62-a264-42d4-a1b0-6e4c0f859a5e,audio,cooking,disgust,2020-07-02 19:33:12,negative,0
57a8bb62-a264-42d4-a1b0-6e4c0f859a5e,audio,cooking,disgust,2020-09-04 00:39:07,negative,0
05776481-7b58-46d8-abf6-bf4de7831287,audio,travel,disgust,2021-04-21 11:14:32,negative,0
05776481-7b58-46d8-abf6-bf4de7831287,audio,travel,disgust,2020-12-10 09:45:06,negative,0
